"Date","Price","Open","High","Low","Change %"
"Sep 05, 2018","114.72","114.44","114.94","114.24","0.30%"
"Sep 04, 2018","114.38","114.58","114.78","114.03","-0.18%"
"Sep 03, 2018","114.59","114.66","114.70","114.27","-0.03%"
"Sep 02, 2018","114.62","114.56","114.68","114.50","-0.02%"
"Aug 31, 2018","114.64","114.53","114.97","114.28","0.10%"
"Aug 30, 2018","114.52","115.05","115.33","114.42","-0.47%"
"Aug 29, 2018","115.06","113.87","115.14","113.66","1.04%"
"Aug 28, 2018","113.88","113.38","114.00","113.26","0.43%"
"Aug 27, 2018","113.39","113.11","113.48","112.78","0.08%"
"Aug 26, 2018","113.30","113.13","113.34","112.80","0.16%"
"Aug 24, 2018","113.12","112.84","113.34","112.72","0.24%"
"Aug 23, 2018","112.85","112.47","113.00","112.38","0.34%"
"Aug 22, 2018","112.47","111.92","112.53","111.75","0.46%"
"Aug 21, 2018","111.95","111.02","112.18","110.91","0.84%"
"Aug 20, 2018","111.02","110.98","111.27","110.91","0.02%"
"Aug 19, 2018","111.00","111.10","111.12","110.99","0.03%"
"Aug 17, 2018","110.97","111.25","111.34","110.81","-0.25%"
"Aug 16, 2018","111.25","111.46","111.85","111.19","-0.19%"
"Aug 15, 2018","111.46","111.79","111.98","110.94","-0.30%"
"Aug 14, 2018","111.80","111.47","112.12","111.33","0.30%"
"Aug 13, 2018","111.47","111.47","111.67","110.70","0.20%"
"Aug 12, 2018","111.25","111.10","111.41","111.02","-0.18%"
"Aug 10, 2018","111.45","111.81","111.89","111.06","-0.32%"
"Aug 09, 2018","111.81","111.72","112.11","111.45","0.07%"
"Aug 08, 2018","111.73","111.84","112.03","111.30","-0.14%"
"Aug 07, 2018","111.89","111.75","111.98","111.58","0.09%"
"Aug 06, 2018","111.79","111.82","111.96","111.58","-0.04%"
"Aug 05, 2018","111.84","111.96","111.98","111.81","-0.06%"
"Aug 03, 2018","111.91","112.20","112.34","111.81","-0.26%"
"Aug 02, 2018","112.20","112.62","112.67","111.92","-0.36%"
"Aug 01, 2018","112.61","112.97","113.12","112.42","-0.32%"
"Jul 31, 2018","112.97","112.39","113.21","112.15","0.52%"
"Jul 30, 2018","112.39","111.66","112.44","111.45","0.72%"
"Jul 29, 2018","111.59","111.57","111.66","111.47","-0.06%"
"Jul 27, 2018","111.66","111.89","111.94","111.31","-0.20%"
"Jul 26, 2018","111.88","111.86","112.00","111.47","0.00%"
"Jul 25, 2018","111.88","111.94","112.19","111.50","-0.04%"
"Jul 24, 2018","111.92","112.17","112.31","111.72","-0.24%"
"Jul 23, 2018","112.19","112.33","112.42","111.84","0.12%"
"Jul 22, 2018","112.06","112.25","112.40","112.06","-0.16%"
"Jul 20, 2018","112.24","112.56","112.71","112.20","-0.28%"
"Jul 19, 2018","112.56","112.97","113.03","112.45","-0.39%"
"Jul 18, 2018","113.00","112.86","113.05","112.64","0.12%"
"Jul 17, 2018","112.86","112.66","113.30","112.49","0.18%"
"Jul 16, 2018","112.66","112.17","112.75","111.92","0.46%"
"Jul 15, 2018","112.14","112.05","112.23","112.00","-0.04%"
"Jul 13, 2018","112.18","112.29","112.48","111.84","-0.11%"
"Jul 12, 2018","112.30","112.50","112.98","112.17","-0.16%"
"Jul 11, 2018","112.48","111.86","112.58","111.57","0.53%"
"Jul 10, 2018","111.89","111.81","112.20","111.67","0.08%"
"Jul 09, 2018","111.80","111.62","112.06","111.44","0.16%"
"Jul 08, 2018","111.62","111.56","111.69","111.48","0.04%"
"Jul 06, 2018","111.58","111.38","111.78","111.22","0.18%"
"Jul 05, 2018","111.38","111.28","111.69","110.96","0.09%"
"Jul 04, 2018","111.28","111.47","111.54","111.19","-0.14%"
"Jul 03, 2018","111.44","111.61","111.97","111.30","-0.15%"
"Jul 02, 2018","111.61","111.70","112.01","111.17","-0.18%"
"Jul 01, 2018","111.81","111.65","111.88","111.63","0.08%"
"Jun 29, 2018","111.72","110.80","111.97","110.67","0.85%"
"Jun 28, 2018","110.78","110.58","110.89","110.30","0.19%"
"Jun 27, 2018","110.57","111.10","111.16","110.51","-0.49%"
"Jun 26, 2018","111.11","111.20","111.28","110.75","-0.10%"
"Jun 25, 2018","111.22","111.25","111.53","110.65","-0.05%"
"Jun 24, 2018","111.28","111.18","111.31","111.11","-0.03%"
"Jun 22, 2018","111.31","110.91","111.44","110.72","0.36%"
"Jun 21, 2018","110.91","110.78","111.17","110.59","0.13%"
"Jun 20, 2018","110.77","110.69","110.91","110.28","0.06%"
"Jun 19, 2018","110.70","111.11","111.14","110.11","-0.35%"
"Jun 18, 2018","111.09","110.93","111.19","110.63","0.18%"
"Jun 17, 2018","110.89","111.03","111.09","110.83","-0.05%"
"Jun 15, 2018","110.94","110.95","111.18","110.70","-0.02%"
"Jun 14, 2018","110.96","111.96","112.06","110.91","-0.88%"
"Jun 13, 2018","111.95","111.83","112.22","111.76","0.09%"
"Jun 12, 2018","111.85","111.67","112.20","111.53","0.16%"
"Jun 11, 2018","111.67","111.11","111.77","110.72","0.47%"
"Jun 10, 2018","111.15","111.02","111.18","111.01","-0.04%"
"Jun 08, 2018","111.19","111.91","112.03","110.75","-0.63%"
"Jun 07, 2018","111.89","111.70","112.22","111.39","0.15%"
"Jun 06, 2018","111.72","111.53","111.95","111.38","0.17%"
"Jun 05, 2018","111.53","111.14","111.55","110.97","0.32%"
"Jun 04, 2018","111.17","110.83","111.45","110.62","0.28%"
"Jun 03, 2018","110.86","110.69","110.88","110.68","0.00%"
"Jun 01, 2018","110.86","110.39","111.03","110.30","0.43%"
"May 31, 2018","110.39","110.08","110.63","109.71","0.27%"
"May 30, 2018","110.09","109.70","110.31","109.17","0.34%"
"May 29, 2018","109.72","110.10","110.22","109.00","-0.35%"
"May 28, 2018","110.11","110.70","110.92","109.77","-0.33%"
"May 27, 2018","110.47","110.67","110.72","110.42","-0.05%"
"May 25, 2018","110.52","110.18","110.67","109.95","0.31%"
"May 24, 2018","110.18","110.55","110.84","109.91","-0.36%"
"May 23, 2018","110.58","111.69","111.77","110.44","-1.00%"
"May 22, 2018","111.70","111.36","111.94","111.22","0.31%"
"May 21, 2018","111.36","110.96","111.54","110.96","0.33%"
"May 18, 2018","110.99","110.61","111.23","110.52","0.34%"
"May 17, 2018","110.61","110.27","110.71","110.08","0.32%"
"May 16, 2018","110.26","110.19","110.44","109.91","0.05%"
"May 15, 2018","110.21","109.59","110.44","109.50","0.57%"
"May 14, 2018","109.59","109.33","110.00","109.20","0.24%"
"May 11, 2018","109.33","109.05","109.50","108.89","0.28%"
"May 10, 2018","109.03","109.17","109.58","109.03","-0.13%"
"May 09, 2018","109.17","108.93","109.64","108.81","0.21%"
"May 08, 2018","108.94","108.83","109.23","108.52","0.12%"
"May 07, 2018","108.81","109.03","109.19","108.67","-0.29%"
"May 04, 2018","109.13","109.46","109.51","108.64","-0.29%"
"May 03, 2018","109.45","109.89","110.16","109.08","-0.43%"
"May 02, 2018","109.92","110.26","110.51","109.86","-0.31%"
"May 01, 2018","110.26","110.36","110.48","110.08","-0.09%"
"Apr 30, 2018","110.36","110.31","110.64","110.17","-0.02%"
"Apr 27, 2018","110.38","110.51","110.59","110.21","-0.12%"
"Apr 26, 2018","110.51","111.29","111.42","110.47","-0.69%"
"Apr 25, 2018","111.28","111.17","111.36","110.89","0.10%"
"Apr 24, 2018","111.17","111.14","111.58","110.92","0.03%"
"Apr 23, 2018","111.14","110.44","111.17","110.30","0.61%"
"Apr 20, 2018","110.47","110.54","110.88","110.29","-0.06%"
"Apr 19, 2018","110.54","110.69","111.07","110.36","-0.14%"
"Apr 18, 2018","110.69","110.75","111.03","110.64","-0.05%"
"Apr 17, 2018","110.75","111.58","111.67","110.59","-0.74%"
"Apr 16, 2018","111.58","111.57","111.98","111.25","0.04%"
"Apr 13, 2018","111.54","111.51","112.14","111.38","0.04%"
"Apr 12, 2018","111.50","111.50","111.64","111.06","-0.01%"
"Apr 11, 2018","111.51","112.01","112.12","111.40","-0.45%"
"Apr 10, 2018","112.01","111.66","112.31","111.54","0.31%"
"Apr 09, 2018","111.66","111.45","111.97","111.33","0.17%"
"Apr 06, 2018","111.47","111.48","111.84","111.10","0.01%"
"Apr 05, 2018","111.46","111.13","111.66","111.06","0.29%"
"Apr 04, 2018","111.14","111.17","111.31","110.58","-0.04%"
"Apr 03, 2018","111.19","110.83","111.36","110.67","0.32%"
"Apr 02, 2018","110.84","111.48","111.66","110.66","-0.49%"
"Mar 30, 2018","111.39","111.32","111.61","111.14","0.11%"
"Mar 29, 2018","111.27","111.68","111.73","110.98","-0.38%"
"Mar 28, 2018","111.69","111.25","111.79","110.93","0.39%"
"Mar 27, 2018","111.26","111.46","112.02","111.23","-0.19%"
"Mar 26, 2018","111.47","110.57","111.64","110.31","0.80%"
"Mar 23, 2018","110.58","110.92","111.11","110.44","-0.31%"
"Mar 22, 2018","110.92","111.66","111.81","110.84","-0.67%"
"Mar 21, 2018","111.67","111.39","111.89","111.24","0.26%"
"Mar 20, 2018","111.38","111.54","112.11","111.35","-0.15%"
"Mar 19, 2018","111.55","111.27","111.73","110.81","0.24%"
"Mar 16, 2018","111.28","111.78","111.83","111.14","-0.44%"
"Mar 15, 2018","111.77","112.50","112.58","111.56","-0.66%"
"Mar 14, 2018","112.51","112.89","113.09","112.08","-0.35%"
"Mar 13, 2018","112.90","112.30","113.28","112.15","0.53%"
"Mar 12, 2018","112.30","112.30","112.54","112.01","0.03%"
"Mar 09, 2018","112.27","111.67","112.76","111.60","0.56%"
"Mar 08, 2018","111.65","112.42","112.59","111.51","-0.69%"
"Mar 07, 2018","112.43","112.82","112.93","112.10","-0.34%"
"Mar 06, 2018","112.81","112.97","113.52","112.58","-0.15%"
"Mar 05, 2018","112.98","112.86","113.03","112.30","0.23%"
"Mar 02, 2018","112.72","112.81","112.95","112.33","-0.07%"
"Mar 01, 2018","112.80","112.92","113.25","112.36","-0.12%"
"Feb 28, 2018","112.93","114.30","114.46","112.81","-1.21%"
"Feb 27, 2018","114.31","114.01","114.49","113.92","0.27%"
"Feb 26, 2018","114.00","114.17","114.58","113.83","-0.09%"
"Feb 23, 2018","114.10","114.44","114.63","113.75","-0.31%"
"Feb 22, 2018","114.45","114.80","114.81","114.08","-0.29%"
"Feb 21, 2018","114.78","114.64","115.14","114.50","0.10%"
"Feb 20, 2018","114.66","114.72","114.96","114.50","-0.06%"
"Feb 19, 2018","114.73","114.61","114.98","114.41","0.12%"
"Feb 16, 2018","114.59","115.10","115.33","114.45","-0.43%"
"Feb 15, 2018","115.09","115.16","115.47","114.55","-0.07%"
"Feb 14, 2018","115.17","115.33","115.44","114.33","-0.16%"
"Feb 13, 2018","115.35","115.65","115.88","114.96","-0.29%"
"Feb 12, 2018","115.69","115.75","116.08","115.52","-0.03%"
"Feb 09, 2018","115.73","116.19","116.65","115.14","-0.39%"
"Feb 08, 2018","116.18","115.85","116.64","115.72","0.28%"
"Feb 07, 2018","115.86","117.06","117.27","115.61","-1.03%"
"Feb 06, 2018","117.06","117.11","117.33","116.28","-0.06%"
"Feb 05, 2018","117.13","118.22","118.31","116.74","-0.93%"
"Feb 02, 2018","118.23","118.11","118.59","117.98","0.11%"
"Feb 01, 2018","118.10","117.23","118.14","117.11","0.72%"
"Jan 31, 2018","117.25","116.44","117.54","116.25","0.70%"
"Jan 30, 2018","116.44","116.22","116.69","115.78","0.19%"
"Jan 29, 2018","116.22","116.38","116.56","116.01","-0.19%"
"Jan 26, 2018","116.44","116.25","116.97","115.80","0.15%"
"Jan 25, 2018","116.26","115.52","117.01","115.35","0.61%"
"Jan 24, 2018","115.55","115.20","115.87","114.99","0.31%"
"Jan 23, 2018","115.19","115.30","115.50","114.75","-0.11%"
"Jan 22, 2018","115.32","114.91","115.46","114.82","0.25%"
"Jan 19, 2018","115.03","115.87","115.97","114.90","-0.73%"
"Jan 18, 2018","115.88","115.25","116.06","115.17","0.56%"
"Jan 17, 2018","115.23","115.12","115.61","114.78","0.10%"
"Jan 16, 2018","115.11","114.75","115.25","114.55","0.29%"
"Jan 15, 2018","114.78","114.72","115.20","114.42","0.08%"
"Jan 12, 2018","114.69","114.00","114.89","113.84","0.61%"
"Jan 11, 2018","114.00","113.87","114.54","113.76","0.08%"
"Jan 10, 2018","113.91","114.56","114.65","113.66","-0.57%"
"Jan 09, 2018","114.56","115.73","115.83","114.30","-1.03%"
"Jan 08, 2018","115.75","115.94","116.11","115.44","-0.17%"
"Jan 05, 2018","115.95","115.69","116.19","115.61","0.22%"
"Jan 04, 2018","115.69","115.14","115.86","115.08","0.47%"
"Jan 03, 2018","115.15","115.58","115.63","114.70","-0.37%"
"Jan 02, 2018","115.58","115.61","115.85","115.29","-0.02%"
"Jan 01, 2018","115.60","115.65","115.68","115.59","-0.04%"
"Dec 29, 2017","115.65","115.32","115.76","115.11","0.26%"
"Dec 28, 2017","115.35","114.92","115.54","114.71","0.37%"
"Dec 27, 2017","114.93","114.49","114.95","114.27","0.39%"
"Dec 26, 2017","114.48","114.58","114.69","114.28","-0.09%"
"Dec 25, 2017","114.58","114.48","114.68","114.42","0.07%"
"Dec 22, 2017","114.50","114.67","114.73","114.33","-0.13%"
"Dec 21, 2017","114.65","114.87","115.21","114.46","-0.18%"
"Dec 20, 2017","114.86","114.62","115.18","114.45","0.19%"
"Dec 19, 2017","114.64","114.17","114.77","114.12","0.40%"
"Dec 18, 2017","114.18","113.72","114.27","113.64","0.45%"
"Dec 15, 2017","113.67","113.61","113.81","113.28","0.05%"
"Dec 14, 2017","113.61","114.21","114.51","113.46","-0.51%"
"Dec 13, 2017","114.19","114.52","114.59","113.90","-0.27%"
"Dec 12, 2017","114.50","114.47","114.71","114.29","0.02%"
"Dec 11, 2017","114.48","114.33","114.58","114.17","0.18%"
"Dec 08, 2017","114.28","113.72","114.42","113.67","0.49%"
"Dec 07, 2017","113.72","113.44","113.83","113.37","0.25%"
"Dec 06, 2017","113.44","114.03","114.11","113.29","-0.52%"
"Dec 05, 2017","114.03","114.13","114.44","113.90","-0.09%"
"Dec 04, 2017","114.13","115.21","115.40","114.04","-0.58%"
"Dec 01, 2017","114.80","114.41","114.97","114.10","0.34%"
"Nov 30, 2017","114.41","113.68","114.59","113.57","0.64%"
"Nov 29, 2017","113.68","113.27","113.79","113.15","0.35%"
"Nov 28, 2017","113.28","113.17","113.44","112.95","0.09%"
"Nov 27, 2017","113.18","113.73","113.98","113.06","-0.58%"
"Nov 24, 2017","113.84","113.31","114.00","113.28","0.47%"
"Nov 23, 2017","113.31","113.28","113.55","113.16","0.04%"
"Nov 22, 2017","113.27","113.42","113.61","113.12","-0.13%"
"Nov 21, 2017","113.42","113.33","113.47","113.11","0.07%"
"Nov 20, 2017","113.34","113.39","113.55","113.06","-0.04%"
"Nov 17, 2017","113.38","113.72","113.84","113.12","-0.31%"
"Nov 16, 2017","113.73","114.19","114.38","113.53","-0.42%"
"Nov 15, 2017","114.21","114.67","114.72","114.11","-0.40%"
"Nov 14, 2017","114.67","114.04","114.74","113.97","0.54%"
"Nov 13, 2017","114.05","114.00","114.12","113.50","0.03%"
"Nov 10, 2017","114.02","114.16","114.31","113.83","-0.11%"
