"Date","Price","Open","High","Low","Change %"
"Sep 05, 2018","143.90","143.32","144.97","142.66","0.43%"
"Sep 04, 2018","143.29","142.93","143.43","142.60","0.21%"
"Sep 03, 2018","142.99","144.09","144.09","142.84","-0.44%"
"Sep 02, 2018","143.62","143.52","143.72","143.48","-0.24%"
"Aug 31, 2018","143.97","144.41","144.74","143.51","-0.30%"
"Aug 30, 2018","144.41","145.47","145.74","144.38","-0.73%"
"Aug 29, 2018","145.47","143.19","145.60","142.81","1.59%"
"Aug 28, 2018","143.19","143.23","143.71","143.05","-0.02%"
"Aug 27, 2018","143.22","142.86","143.31","142.52","0.08%"
"Aug 26, 2018","143.11","142.96","143.19","142.92","0.09%"
"Aug 24, 2018","142.98","142.65","143.29","142.52","0.22%"
"Aug 23, 2018","142.66","142.75","143.06","142.44","-0.06%"
"Aug 22, 2018","142.74","142.29","142.84","141.99","0.30%"
"Aug 21, 2018","142.31","140.88","142.73","140.66","1.03%"
"Aug 20, 2018","140.86","140.60","141.25","140.60","0.03%"
"Aug 19, 2018","140.82","140.98","140.99","140.82","-0.07%"
"Aug 17, 2018","140.92","141.06","141.21","140.23","-0.10%"
"Aug 16, 2018","141.06","140.60","141.35","140.21","0.31%"
"Aug 15, 2018","140.62","141.47","141.81","139.88","-0.58%"
"Aug 14, 2018","141.44","141.34","142.50","141.00","0.04%"
"Aug 13, 2018","141.38","141.65","141.88","140.25","0.16%"
"Aug 12, 2018","141.16","140.85","141.36","140.78","-0.35%"
"Aug 10, 2018","141.66","142.46","142.60","140.96","-0.56%"
"Aug 09, 2018","142.46","142.97","143.53","142.35","-0.36%"
"Aug 08, 2018","142.97","144.12","144.31","142.72","-0.80%"
"Aug 07, 2018","144.12","144.21","144.47","143.79","-0.05%"
"Aug 06, 2018","144.19","144.75","144.78","144.03","-0.30%"
"Aug 05, 2018","144.63","144.74","144.74","144.55","-0.07%"
"Aug 03, 2018","144.73","145.37","145.57","144.49","-0.43%"
"Aug 02, 2018","145.35","146.63","146.68","144.97","-0.89%"
"Aug 01, 2018","146.65","146.86","147.17","146.29","-0.14%"
"Jul 31, 2018","146.85","145.91","147.03","145.37","0.67%"
"Jul 30, 2018","145.87","145.41","145.96","145.31","0.29%"
"Jul 29, 2018","145.45","145.50","145.56","145.36","-0.10%"
"Jul 27, 2018","145.59","145.82","145.87","145.25","-0.15%"
"Jul 26, 2018","145.81","146.34","146.54","145.74","-0.38%"
"Jul 25, 2018","146.37","146.16","146.53","145.69","0.13%"
"Jul 24, 2018","146.18","145.87","146.37","145.44","0.20%"
"Jul 23, 2018","145.89","146.52","146.52","145.67","-0.08%"
"Jul 22, 2018","146.00","146.19","146.44","146.00","-0.22%"
"Jul 20, 2018","146.32","146.35","146.69","145.97","-0.03%"
"Jul 19, 2018","146.36","147.51","147.63","146.15","-0.81%"
"Jul 18, 2018","147.55","148.04","148.26","146.83","-0.34%"
"Jul 17, 2018","148.05","148.62","149.12","147.60","-0.39%"
"Jul 16, 2018","148.63","148.64","149.35","148.42","-0.03%"
"Jul 15, 2018","148.67","148.48","148.78","148.45","-0.03%"
"Jul 13, 2018","148.72","148.66","148.77","147.64","0.04%"
"Jul 12, 2018","148.66","147.91","148.94","147.78","0.50%"
"Jul 11, 2018","147.92","147.39","148.17","146.81","0.39%"
"Jul 10, 2018","147.35","147.00","147.82","146.82","0.26%"
"Jul 09, 2018","146.97","147.00","147.62","146.09","0.10%"
"Jul 08, 2018","146.83","147.08","147.13","146.73","0.05%"
"Jul 06, 2018","146.75","146.32","146.82","146.13","0.29%"
"Jul 05, 2018","146.32","146.18","146.90","145.84","0.10%"
"Jul 04, 2018","146.18","145.96","146.41","145.57","0.19%"
"Jul 03, 2018","145.91","145.76","146.42","145.29","0.11%"
"Jul 02, 2018","145.75","145.84","146.50","145.16","-0.35%"
"Jul 01, 2018","146.26","145.81","146.28","145.81","0.05%"
"Jun 29, 2018","146.19","144.50","146.35","144.34","1.17%"
"Jun 28, 2018","144.50","144.60","144.72","143.76","-0.06%"
"Jun 27, 2018","144.58","145.59","145.74","144.51","-0.68%"
"Jun 26, 2018","145.57","145.81","145.85","144.96","-0.12%"
"Jun 25, 2018","145.75","146.05","146.21","144.69","-0.04%"
"Jun 24, 2018","145.81","145.62","145.97","145.62","-0.08%"
"Jun 22, 2018","145.92","145.74","146.67","145.46","0.11%"
"Jun 21, 2018","145.76","145.38","146.25","144.59","0.27%"
"Jun 20, 2018","145.37","145.05","145.64","144.57","0.22%"
"Jun 19, 2018","145.05","146.42","146.53","144.37","-0.93%"
"Jun 18, 2018","146.41","146.78","147.09","146.09","-0.32%"
"Jun 17, 2018","146.88","146.85","147.06","146.77","-0.10%"
"Jun 15, 2018","147.03","146.72","147.10","146.26","0.21%"
"Jun 14, 2018","146.72","147.56","147.87","146.65","-0.59%"
"Jun 13, 2018","147.59","147.61","147.94","147.21","0.00%"
"Jun 12, 2018","147.59","147.25","148.03","147.12","0.29%"
"Jun 11, 2018","147.17","146.83","147.87","146.45","0.24%"
"Jun 10, 2018","146.82","146.66","146.84","146.60","-0.07%"
"Jun 08, 2018","146.93","147.25","147.47","146.09","-0.22%"
"Jun 07, 2018","147.25","147.80","148.17","146.90","-0.37%"
"Jun 06, 2018","147.79","147.09","148.05","146.96","0.48%"
"Jun 05, 2018","147.09","146.19","147.16","146.04","0.62%"
"Jun 04, 2018","146.19","146.14","146.93","145.83","-0.13%"
"Jun 03, 2018","146.38","146.09","146.38","146.07","0.11%"
"Jun 01, 2018","146.22","144.71","146.31","144.47","1.02%"
"May 31, 2018","144.74","144.74","145.34","144.11","-0.01%"
"May 30, 2018","144.75","144.13","145.09","143.58","0.42%"
"May 29, 2018","144.15","145.66","145.76","143.21","-1.05%"
"May 28, 2018","145.68","145.56","146.23","145.32","-0.14%"
"May 27, 2018","145.88","146.19","146.20","145.85","0.20%"
"May 25, 2018","145.59","146.19","146.76","145.28","-0.41%"
"May 24, 2018","146.19","146.94","147.29","145.69","-0.49%"
"May 23, 2018","146.91","149.00","149.06","145.93","-1.40%"
"May 22, 2018","149.00","149.16","149.75","148.75","-0.10%"
"May 21, 2018","149.15","149.35","149.68","148.82","-0.05%"
"May 18, 2018","149.22","149.74","150.04","149.09","-0.33%"
"May 17, 2018","149.72","148.91","149.88","148.76","0.55%"
"May 16, 2018","148.90","149.03","149.13","148.16","-0.09%"
"May 15, 2018","149.04","148.68","149.24","148.37","0.26%"
"May 14, 2018","148.66","148.28","149.09","147.97","0.34%"
"May 11, 2018","148.16","147.89","148.52","147.58","0.18%"
"May 10, 2018","147.90","148.66","149.34","147.45","-0.51%"
"May 09, 2018","148.66","147.81","149.22","147.69","0.56%"
"May 08, 2018","147.83","147.91","148.11","147.04","-0.05%"
"May 07, 2018","147.90","147.71","148.30","147.34","0.15%"
"May 04, 2018","147.68","148.25","148.32","147.06","-0.38%"
"May 03, 2018","148.25","149.16","149.50","147.59","-0.62%"
"May 02, 2018","149.18","149.57","150.13","148.97","-0.26%"
"May 01, 2018","149.57","150.48","150.64","149.13","-0.66%"
"Apr 30, 2018","150.57","150.29","150.84","149.84","0.21%"
"Apr 27, 2018","150.26","152.13","152.31","150.21","-1.26%"
"Apr 26, 2018","152.17","152.45","152.76","151.94","-0.18%"
"Apr 25, 2018","152.44","152.12","152.59","152.02","0.23%"
"Apr 24, 2018","152.09","151.53","152.63","151.40","0.35%"
"Apr 23, 2018","151.56","150.94","151.66","150.74","0.52%"
"Apr 20, 2018","150.78","151.26","151.73","150.65","-0.35%"
"Apr 19, 2018","151.31","152.31","152.99","151.07","-0.66%"
"Apr 18, 2018","152.31","152.88","153.65","152.03","-0.38%"
"Apr 17, 2018","152.89","153.60","153.79","152.77","-0.44%"
"Apr 16, 2018","153.57","152.94","153.79","152.65","0.46%"
"Apr 13, 2018","152.87","152.70","153.88","152.55","0.10%"
"Apr 12, 2018","152.71","151.41","152.92","151.18","0.87%"
"Apr 11, 2018","151.40","151.95","152.27","151.27","-0.38%"
"Apr 10, 2018","151.97","150.88","152.19","150.72","0.73%"
"Apr 09, 2018","150.87","150.74","151.53","150.49","0.12%"
"Apr 06, 2018","150.69","150.38","151.26","149.90","0.21%"
"Apr 05, 2018","150.37","150.36","150.71","149.96","0.01%"
"Apr 04, 2018","150.36","149.86","150.45","148.77","0.33%"
"Apr 03, 2018","149.87","148.74","150.00","148.50","0.76%"
"Apr 02, 2018","148.74","149.16","149.72","148.40","-0.15%"
"Mar 30, 2018","148.97","149.19","149.58","148.85","-0.15%"
"Mar 29, 2018","149.19","150.43","150.51","149.02","-0.82%"
"Mar 28, 2018","150.43","149.10","150.65","149.03","0.87%"
"Mar 27, 2018","149.13","150.01","150.53","148.96","-0.57%"
"Mar 26, 2018","149.98","148.12","150.15","147.83","1.32%"
"Mar 23, 2018","148.03","148.40","149.01","147.66","-0.26%"
"Mar 22, 2018","148.41","149.97","150.19","148.25","-1.04%"
"Mar 21, 2018","149.97","149.14","150.34","148.94","0.56%"
"Mar 20, 2018","149.13","148.78","149.79","148.54","0.23%"
"Mar 19, 2018","148.79","147.83","149.70","147.04","0.71%"
"Mar 16, 2018","147.74","148.22","148.29","147.22","-0.32%"
"Mar 15, 2018","148.22","148.44","148.54","147.44","-0.15%"
"Mar 14, 2018","148.44","148.78","149.19","147.71","-0.24%"
"Mar 13, 2018","148.79","147.99","149.43","147.75","0.55%"
"Mar 12, 2018","147.97","147.94","148.24","147.41","0.05%"
"Mar 09, 2018","147.90","146.71","148.60","146.61","0.82%"
"Mar 08, 2018","146.69","147.44","147.69","146.37","-0.52%"
"Mar 07, 2018","147.46","147.38","147.60","146.21","0.05%"
"Mar 06, 2018","147.38","147.10","148.05","146.53","0.20%"
"Mar 05, 2018","147.08","145.78","147.14","145.07","0.75%"
"Mar 02, 2018","145.99","146.38","146.50","144.97","-0.25%"
"Mar 01, 2018","146.35","146.81","147.50","146.00","-0.30%"
"Feb 28, 2018","146.79","149.29","149.53","146.69","-1.67%"
"Feb 27, 2018","149.29","149.37","149.84","148.82","-0.06%"
"Feb 26, 2018","149.38","149.37","150.09","148.97","0.06%"
"Feb 23, 2018","149.29","148.97","149.53","148.63","0.17%"
"Feb 22, 2018","149.04","150.01","150.06","148.53","-0.64%"
"Feb 21, 2018","150.00","150.24","150.95","149.43","-0.15%"
"Feb 20, 2018","150.22","149.30","150.43","149.07","0.62%"
"Feb 19, 2018","149.29","149.19","149.50","148.87","0.00%"
"Feb 16, 2018","149.29","149.63","150.00","148.78","-0.22%"
"Feb 15, 2018","149.62","149.79","150.22","148.92","-0.12%"
"Feb 14, 2018","149.80","149.82","150.05","147.94","0.01%"
"Feb 13, 2018","149.79","150.33","150.64","148.95","-0.37%"
"Feb 12, 2018","150.35","150.44","150.84","149.66","-0.13%"
"Feb 09, 2018","150.54","151.31","152.79","148.91","-0.51%"
"Feb 08, 2018","151.31","151.75","154.04","150.81","-0.30%"
"Feb 07, 2018","151.76","152.84","153.18","151.33","-0.69%"
"Feb 06, 2018","152.82","152.25","152.94","151.19","0.35%"
"Feb 05, 2018","152.29","155.66","155.66","152.25","-2.06%"
"Feb 02, 2018","155.50","156.06","156.65","155.41","-0.36%"
"Feb 01, 2018","156.06","154.94","156.47","154.91","0.69%"
"Jan 31, 2018","154.99","153.88","155.38","153.56","0.72%"
"Jan 30, 2018","153.88","153.35","154.10","151.97","0.35%"
"Jan 29, 2018","153.34","153.85","154.04","152.81","-0.47%"
"Jan 26, 2018","154.06","154.79","155.88","153.44","-0.44%"
"Jan 25, 2018","154.74","155.53","156.09","154.40","-0.53%"
"Jan 24, 2018","155.57","154.43","155.74","154.12","0.73%"
"Jan 23, 2018","154.44","155.16","155.44","153.71","-0.46%"
"Jan 22, 2018","155.16","153.65","155.26","153.44","1.12%"
"Jan 19, 2018","153.44","154.37","154.47","153.10","-0.60%"
"Jan 18, 2018","154.37","153.89","154.62","153.62","0.33%"
"Jan 17, 2018","153.86","152.35","154.31","152.13","1.00%"
"Jan 16, 2018","152.34","152.44","153.13","152.04","-0.08%"
"Jan 15, 2018","152.46","152.54","152.86","151.94","0.01%"
"Jan 12, 2018","152.45","150.63","152.68","150.51","1.21%"
"Jan 11, 2018","150.62","150.50","151.04","150.19","0.07%"
"Jan 10, 2018","150.51","152.54","152.63","150.37","-1.32%"
"Jan 09, 2018","152.53","153.47","153.62","151.93","-0.59%"
"Jan 08, 2018","153.44","153.46","153.71","152.85","-0.01%"
