"Date","Price","Open","High","Low","Change %"
"Sep 05, 2018","73.48","73.02","73.57","72.88","0.56%"
"Sep 04, 2018","73.07","73.33","73.51","72.83","-0.35%"
"Sep 03, 2018","73.33","73.56","73.67","73.16","-0.14%"
"Sep 02, 2018","73.43","73.52","73.59","73.38","-0.18%"
"Aug 31, 2018","73.56","73.88","74.00","73.31","-0.43%"
"Aug 30, 2018","73.88","74.99","75.07","73.67","-1.52%"
"Aug 29, 2018","75.02","74.61","75.05","74.39","0.56%"
"Aug 28, 2018","74.60","74.38","74.73","74.24","0.28%"
"Aug 27, 2018","74.39","74.44","74.61","74.11","-0.24%"
"Aug 26, 2018","74.57","74.40","74.59","74.38","0.17%"
"Aug 24, 2018","74.44","73.86","74.50","73.73","0.79%"
"Aug 23, 2018","73.86","74.04","74.17","73.80","-0.24%"
"Aug 22, 2018","74.04","73.81","74.12","73.68","0.31%"
"Aug 21, 2018","73.81","73.09","74.00","72.95","0.99%"
"Aug 20, 2018","73.09","73.26","73.48","73.03","-0.14%"
"Aug 19, 2018","73.19","73.45","73.45","73.19","-0.23%"
"Aug 17, 2018","73.36","73.08","73.42","72.78","0.41%"
"Aug 16, 2018","73.06","72.70","73.31","72.44","0.50%"
"Aug 15, 2018","72.70","73.06","73.17","72.36","-0.49%"
"Aug 14, 2018","73.06","72.82","73.40","72.69","0.30%"
"Aug 13, 2018","72.84","73.00","73.14","72.33","0.00%"
"Aug 12, 2018","72.84","72.62","72.94","72.52","-0.22%"
"Aug 10, 2018","73.00","73.47","73.58","72.72","-0.63%"
"Aug 09, 2018","73.46","74.90","74.90","73.40","-1.90%"
"Aug 08, 2018","74.88","75.00","75.26","74.69","-0.19%"
"Aug 07, 2018","75.02","75.02","75.19","74.84","0.03%"
"Aug 06, 2018","75.00","75.00","75.19","74.86","-0.01%"
"Aug 05, 2018","75.01","75.06","75.08","74.98","-0.03%"
"Aug 03, 2018","75.03","75.41","75.48","74.89","-0.50%"
"Aug 02, 2018","75.41","75.86","75.92","75.19","-0.62%"
"Aug 01, 2018","75.88","76.28","76.33","75.72","-0.51%"
"Jul 31, 2018","76.27","75.76","76.33","75.60","0.65%"
"Jul 30, 2018","75.78","75.49","75.88","75.30","0.53%"
"Jul 29, 2018","75.38","75.41","75.45","75.37","-0.01%"
"Jul 27, 2018","75.39","75.45","75.52","75.17","-0.08%"
"Jul 26, 2018","75.45","75.86","75.94","75.39","-0.57%"
"Jul 25, 2018","75.88","75.64","75.94","75.39","0.33%"
"Jul 24, 2018","75.63","75.56","75.74","75.26","0.09%"
"Jul 23, 2018","75.56","75.80","75.93","75.43","-0.22%"
"Jul 22, 2018","75.73","75.71","75.91","75.68","-0.17%"
"Jul 20, 2018","75.86","75.86","76.14","75.48","-0.01%"
"Jul 19, 2018","75.87","76.67","76.78","75.69","-1.07%"
"Jul 18, 2018","76.69","76.58","76.75","76.17","0.14%"
"Jul 17, 2018","76.58","76.10","76.88","75.88","0.62%"
"Jul 16, 2018","76.11","75.81","76.34","75.81","0.12%"
"Jul 15, 2018","76.02","75.89","76.07","75.88","0.00%"
"Jul 13, 2018","76.02","76.37","76.46","75.74","-0.45%"
"Jul 12, 2018","76.36","75.72","76.36","75.53","0.89%"
"Jul 11, 2018","75.69","75.88","75.91","75.39","-0.28%"
"Jul 10, 2018","75.90","75.78","76.16","75.66","0.16%"
"Jul 09, 2018","75.78","75.57","75.86","75.34","0.40%"
"Jul 08, 2018","75.48","75.55","75.58","75.44","-0.11%"
"Jul 06, 2018","75.56","75.05","75.67","75.00","0.67%"
"Jul 05, 2018","75.06","74.68","75.20","74.53","0.48%"
"Jul 04, 2018","74.70","74.71","74.89","74.52","0.00%"
"Jul 03, 2018","74.70","74.48","74.84","74.08","0.31%"
"Jul 02, 2018","74.47","74.86","75.28","74.12","-0.80%"
"Jul 01, 2018","75.07","75.10","75.22","75.00","0.24%"
"Jun 29, 2018","74.89","74.67","75.17","74.42","0.32%"
"Jun 28, 2018","74.65","74.91","75.11","74.39","-0.32%"
"Jun 27, 2018","74.89","75.52","75.56","74.72","-0.83%"
"Jun 26, 2018","75.52","75.74","75.79","75.18","-0.30%"
"Jun 25, 2018","75.75","75.97","76.11","75.39","-0.37%"
"Jun 24, 2018","76.03","76.00","76.10","75.97","0.08%"
"Jun 22, 2018","75.97","75.65","76.18","75.31","0.40%"
"Jun 21, 2018","75.67","75.77","75.92","75.44","-0.08%"
"Jun 20, 2018","75.73","75.94","76.23","75.55","-0.29%"
"Jun 19, 2018","75.95","76.77","76.78","75.48","-1.07%"
"Jun 18, 2018","76.77","76.89","76.89","76.34","0.00%"
"Jun 17, 2018","76.77","76.75","76.81","76.69","-0.20%"
"Jun 15, 2018","76.92","77.18","77.22","76.64","-0.35%"
"Jun 14, 2018","77.19","77.49","77.64","77.12","-0.43%"
"Jun 13, 2018","77.52","77.34","77.91","77.28","0.23%"
"Jun 12, 2018","77.34","77.31","77.82","77.18","0.03%"
"Jun 11, 2018","77.32","76.81","77.53","76.62","0.45%"
"Jun 10, 2018","76.97","76.78","77.00","76.77","-0.10%"
"Jun 08, 2018","77.05","77.09","77.24","76.58","-0.06%"
"Jun 07, 2018","77.10","77.51","77.67","76.92","-0.52%"
"Jun 06, 2018","77.50","77.12","77.69","77.06","0.49%"
"Jun 05, 2018","77.12","77.19","77.39","76.83","-0.09%"
"Jun 04, 2018","77.19","76.48","77.26","76.28","0.90%"
"Jun 03, 2018","76.50","76.42","76.50","76.40","0.00%"
"Jun 01, 2018","76.50","76.17","76.61","76.09","0.43%"
"May 31, 2018","76.17","76.11","76.48","75.66","0.08%"
"May 30, 2018","76.11","75.09","76.31","74.60","1.36%"
"May 29, 2018","75.09","75.98","76.00","74.56","-1.16%"
"May 28, 2018","75.97","75.54","76.29","75.48","0.16%"
"May 27, 2018","75.85","76.01","76.07","75.83","0.22%"
"May 25, 2018","75.68","75.61","76.08","75.38","0.05%"
"May 24, 2018","75.64","76.13","76.35","75.36","-0.66%"
"May 23, 2018","76.14","76.90","76.99","75.56","-0.98%"
"May 22, 2018","76.89","77.14","77.53","76.81","-0.32%"
"May 21, 2018","77.14","76.56","77.17","76.47","0.76%"
"May 18, 2018","76.56","76.19","76.77","76.11","0.50%"
"May 17, 2018","76.18","76.14","76.45","76.01","0.05%"
"May 16, 2018","76.14","75.72","76.27","75.58","0.55%"
"May 15, 2018","75.72","75.82","76.12","75.63","-0.12%"
"May 14, 2018","75.81","76.14","76.25","75.75","-0.54%"
"May 11, 2018","76.22","76.17","76.39","76.06","0.07%"
"May 10, 2018","76.17","76.67","76.68","75.81","-0.65%"
"May 09, 2018","76.67","76.08","76.82","75.92","0.80%"
"May 08, 2018","76.06","76.54","76.64","75.89","-0.64%"
"May 07, 2018","76.55","76.57","76.75","76.39","-0.08%"
"May 04, 2018","76.61","76.89","76.98","76.25","-0.36%"
"May 03, 2018","76.89","76.86","77.16","76.53","0.08%"
"May 02, 2018","76.83","77.02","77.23","76.78","-0.17%"
"May 01, 2018","76.96","76.93","77.02","76.73","0.05%"
